,Maps,Hopital,Avis,Type,Adressse,Open,Tel,Site Web,Région,Latitude,Longitude
0,https://www.google.com/maps/place/H%C3%B4pital+r%C3%A9gional+de+Zaghouan/data=!4m7!3m6!1s0x12fd112211522291:0x70a3aec794978ecc!8m2!3d36.4163574!4d10.1321597!16s%2Fg%2F11c5wkg2h4!19sChIJkSJSESIR_RIRzI6XlMeuo3A?authuser=0&hl=fr&rclk=1,Hôpital régional de Zaghouan,"3,4",Hôpital,Bd de l'Environnement,Ouvert 24h/24,72 676 700,https://www.facebook.com/h%C3%B4pital-r%C3%A9gional-de-zaghouan-122332091141059/,Zaghouan,36.4163574,10.1321597
1,https://www.google.com/maps/place/Centre+amal/data=!4m7!3m6!1s0x12fd114b9735a5ff:0x999683aca998af65!8m2!3d36.4091896!4d10.1423411!16s%2Fg%2F11hzzqvtdw!19sChIJ_6U1l0sR_RIRZa-YqayDlpk?authuser=0&hl=fr&rclk=1,Centre amal,,Hôpital,Djbal mouesr,,,,Zaghouan,36.4091896,10.1423411
2,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D8%A9+%D8%B2%D8%BA%D9%88%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fd1111363bf419:0xb35aa1fff2317170!8m2!3d36.4088904!4d10.1405428!16s%2Fg%2F11c1p4kh12!19sChIJGfQ7NhER_RIRcHEx8v-hWrM?authuser=0&hl=fr&rclk=1,مصحة زغوان,"3,1",Clinique,Avenue de l'Independance,Ouvert 24h/24,72 683 000,https://clinique-zaghouan.business.site/,Zaghouan,36.4088904,10.1405428
3,https://www.google.com/maps/place/Cabinet+Dr+Fedia+Jardak+Neurologue/data=!4m7!3m6!1s0x12fd11b37413a233:0xabc3a3716f4f4382!8m2!3d36.4091016!4d10.1410407!16s%2Fg%2F11rhq220vq!19sChIJM6ITdLMR_RIRgkNPb3Gjw6s?authuser=0&hl=fr&rclk=1,Cabinet Dr Fedia Jardak Neurologue,"5,0",Cabinet médical,"Immeuble Nesrine derrière la Clinique de Zaghouan,RDC,App N°1",Fermé,51 250 026,https://www.med.tn/medecin/neurologue/zaghouan/dr-fedia-jardak-200480.html,Zaghouan,36.4091016,10.1410407
4,https://www.google.com/maps/place/Centre+hospitalier+international+Carthag%C3%A8ne/data=!4m7!3m6!1s0x12fd34c5b03fb787:0x882d729c47e37885!8m2!3d36.8454516!4d10.1998697!16s%2Fg%2F11bzyyl1tw!19sChIJh7c_sMU0_RIRhXjjR5xyLYg?authuser=0&hl=fr&rclk=1,Centre hospitalier international Carthagène,"3,6",Hôpital privé,"R6W2+62X Ctre hospitalier int'l de Tunis, Cartagene",Ouvert 24h/24,31 336 336,http://www.carthagene.tn/,Zaghouan,36.8454516,10.1998697
5,https://www.google.com/maps/place/Clinique+Jasmin/data=!4m7!3m6!1s0x12fd347000000001:0x8dbd4ac27823254a!8m2!3d36.8467314!4d10.1988976!16s%2Fg%2F11c7hcs7c8!19sChIJAQAAAHA0_RIRSiUjeMJKvY0?authuser=0&hl=fr&rclk=1,Clinique Jasmin,"2,6",Hôpital,,,,,Zaghouan,36.8467314,10.1988976
6,https://www.google.com/maps/place/Clinique+Taoufik/data=!4m7!3m6!1s0x12e2b5507060ffe9:0xda7ceb1102db00e1!8m2!3d36.8499736!4d10.1874747!16s%2Fg%2F11hynj3w3w!19sChIJ6f9gcFC14hIR4QDbAhHrfNo?authuser=0&hl=fr&rclk=1,Clinique Taoufik,"3,9",Hôpital,Bd Mohamed Bouazizi,Fermé,36 406 400,https://www.taoufikhospitalsgroup.com/contact/,Zaghouan,36.8499736,10.1874747
7,https://www.google.com/maps/place/Centre+de+maternit%C3%A9+et+de+n%C3%A9onatologie/data=!4m7!3m6!1s0x12fd33931ad7165f:0xee50b89127029e9e!8m2!3d36.8007158!4d10.156758!16s%2Fg%2F1tdjt78r!19sChIJXxbXGpMz_RIRnp4CJ5G4UO4?authuser=0&hl=fr&rclk=1,Centre de maternité et de néonatologie,"1,9",Clinique de maternité,"R524+7PJ, Rue 4021",Fermé,71 576 059,http://www.sante.rns.tn/,Zaghouan,36.8007158,10.156758
8,https://www.google.com/maps/place/hopital+regional+zaghouan/data=!4m7!3m6!1s0x12fd111155555555:0x1f0b8cf79b0a446e!8m2!3d36.4135926!4d10.1345581!16s%2Fg%2F11dxl0_whp!19sChIJVVVVVRER_RIRbkQKm_eMCx8?authuser=0&hl=fr&rclk=1,hopital regional zaghouan,"5,0",Hôpital,C47M+CRM,Définitivement fermé,,,Zaghouan,36.4135926,10.1345581
9,https://www.google.com/maps/place/Clinique+Taoufik/data=!4m7!3m6!1s0x12e2b5507060ffe9:0xda7ceb1102db00e1!8m2!3d36.8499736!4d10.1874747!16s%2Fg%2F11hynj3w3w!19sChIJ6f9gcFC14hIR4QDbAhHrfNo?authuser=0&hl=fr&rclk=1,Clinique Taoufik,"3,9",Hôpital,Bd Mohamed Bouazizi,Fermé,36 406 400,https://www.taoufikhospitalsgroup.com/contact/,Tunis,36.8499736,10.1874747
